Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,description,target
27,female,2,own,little,little,1185,12,business,"A 27 year old female, with a highly skilled job and who owns her own home, is applying for a business loan of 1185 euros for a duration of 12 months. She has little money in her savings and current accounts.",good risk
35,female,1,own,quite rich,little,3447,12,education,"Female, skilled and resident, owns the house, has a quite rich savings account, has a little checking account, requested a loan of 3447 for education, for 12 months.",good risk
25,male,2,own,little,little,1258,24,business,"A person of 25 years old, male, skilled worker, with his own house, little saving and current accounts, with a credit of 1258 for business purposes, for a period of 24 months.",good risk
52,male,2,own,little,little,717,12,radio/TV,"A man of 52 years old who is skilled and owns his house, requested a loan of 717 for a TV/Radio for a period of 12 months. He has a little savings and current account.",good risk
35,male,2,rent,moderate,little,1204,6,car,"The person is a 35 year old man who is skilled, rents his home, has a moderate savings account and a small checking account. He is requesting a 1204 loan for a car, with a 6 month duration.",good risk
26,male,2,own,little,rich,1925,24,furniture/equipment,"The risk credit of a 26 year old male, skilled, with his own house, a little savings account, a rich checking account, a loan of 1925 euros for furniture/equipment and a 24 month duration.",good risk
22,female,2,rent,little,little,433,18,radio/TV,"A 22 year old female with a skilled job, renting her home and little savings wants to take out a small loan for a radio/TV for 18 months.",good risk
39,female,1,own,rich,little,666,6,car,"Female, unskilled resident, owns her home, has a rich savings account, a little checking account, a credit of $666, a 6-month loan, for a car.",good risk
46,female,1,own,little,rich,2251,12,furniture/equipment,"A 46 years old female resident, skilled, with own accommodation, little savings and rich current account, requested a credit of 2251 for furniture/equipment with a 12 months duration.",good risk
24,female,2,own,little,moderate,2150,30,car,"A 24-year-old woman with a skilled job who owns her own home has applied for a loan of 2150 for a car, has a moderate current account and a small savings account.",good risk
35,male,2,own,moderate,little,4151,24,furniture/equipment,"A 35-year-old man, skilled, who owns his home, with a small current account and moderate savings, is applying for a loan of 4151 euros for furniture and equipment for a period of 24 months.",good risk
24,male,2,own,little,moderate,2030,9,furniture/equipment,A young male with a moderate current account and a little savings account requested a loan for furniture/equipment. He is a skilled worker and owns his house. The loan duration is 9 months.,good risk
27,male,1,own,little,moderate,7418,60,radio/TV,Un hombre joven con un trabajo no calificado y residente solicita un préstamo de radio/TV por un monto de 7418 por un período de 60 meses. Tiene una cuenta de ahorro pequeña y una cuenta corriente moderada. Es dueño de su casa.,good risk
35,male,1,own,little,little,2684,24,radio/TV,"A man of 35 years old, with a low savings and current account balance, and who works in an unskilled job and owns his own home, requests a loan of 2684 for a radio/TV with a duration of 24 months.",bad risk
29,male,2,free,little,little,2149,12,radio/TV,"A male with a skilled job, living in free housing, with little savings, asked for a loan of 2149 for a TV/Radio. The loan has a duration of 12 months.",bad risk
23,female,2,own,moderate,little,3812,15,car,"The risk is low because of the age of the person, the purpose of the loan, the type of account and the duration of the loan.",good risk
57,female,1,own,moderate,little,1154,11,radio/TV,"The person is a 57 year old woman, who lives in her own house, she has a low balance in her checking account, but she has a moderate saving account, she wants to buy a radio/TV, she is unskilled but resident, the loan duration is 11 months and the amount is 1154.",good risk
27,male,2,own,little,little,1657,12,furniture/equipment,"A 27 year old man, with a high skill level, who owns his own house has requested a small amount of credit to buy furniture/equipment.",good risk
55,female,2,own,little,little,1603,24,radio/TV,"A woman of 55 years old, with a skilled job, who owns her house, with little savings and checking account, requests a loan of 1603 for a radio/TV with a 24 month term.",good risk
36,male,3,free,little,little,5302,18,car,The client is a 36 year old man who is highly skilled. He has a small current and savings account. He has requested a loan for a car for 18 months for an amount of 5302.,good risk
57,female,1,free,little,little,2748,12,education,A 57 year old woman who is unskilled and a resident with a low savings account and low checking account is requesting a loan of 2748 for education for 12 months.,bad risk
32,male,1,own,little,little,1231,10,car,A 32-year-old male resident with a little savings and a little checking account is applying for a loan of 1231 for a car with a duration of 10 months.,bad risk
37,male,2,own,little,moderate,802,15,radio/TV,"A 37 years old male with a moderate current account and a little saving account, who is skilled, owns his house and is requesting a loan of 802 for radio/TV, for a 15 months period.",good risk
36,male,2,own,little,little,6304,36,business,"Male, 36 years old, skilled, has a business loan for 6304 with a duration of 36 months and has a small current and savings account.",good risk
38,female,2,own,little,little,1533,24,radio/TV,"A 38 year old female with a high skill job, who owns her own home, with a small amount in savings and checking, is requesting a loan of 1533 for a radio/TV.",good risk
45,male,3,own,little,little,8978,14,car,"A 45 year old man, who is highly skilled and owns his home, has requested a loan of 8978 for a car, which will last for 14 months. He has little in savings and checking.",good risk
25,male,2,own,little,little,999,24,radio/TV,"The person is a 25 years old male with a skilled job, who owns his own house, and has a low balance in his savings and checking accounts. He applied for a loan of $999 for a radio/TV, with a duration of 24 months.",good risk
32,male,2,own,little,little,2662,18,car,"The male, aged 32, with a skilled job, owns his home and has a small current account and savings. He wants to buy a car and is asking for a loan of 2662, for 18 months.",good risk
37,female,2,rent,quite rich,little,1402,12,furniture/equipment,"A woman who is 37 years old, has a skilled job, rents her home, has a lot of savings, little checking account, requested a 1402 euros loan for 12 months to buy furniture/equipment.",good risk
36,male,3,free,little,moderate,12169,48,car,"A male, 36 years old, highly skilled, has a car loan of 12169€, with a moderate checking account and little savings.",good risk
28,male,2,own,little,moderate,3060,48,radio/TV,"A male with a skilled job, who owns his own home, has a moderate current account and has taken a loan of 3060 for radio/TV for 48 months.",good risk
34,male,1,own,little,little,11998,30,repairs,"A 34 year old male has requested a $11998 loan for repairs. He is unskilled but a resident, owns his own home and has a small current and savings account.",bad risk
32,male,2,own,little,little,2697,9,radio/TV,A 32 year old male with a skilled job has a low savings balance and requested a small loan for a radio/TV.,good risk
26,female,2,own,little,little,2404,18,radio/TV,"A 26 years old woman, skilled, with her own house, with little savings and little current account, requests a loan of 2404 for a radio/TV, for a 18 months period.",good risk
49,male,1,own,little,little,1262,12,furniture/equipment,"The client is a 49 year old male, who is an unskilled resident. He owns his house, has little savings and current accounts. He requested a loan of 1262 euros to buy furniture and equipment for a period of 12 months.",bad risk
32,female,2,own,little,little,4611,6,furniture/equipment,"A 32 year old woman, who is skilled, owns her home, has little in savings and checking, and is taking a loan of $4611 for furniture/equipment for 6 months.",bad risk
29,male,3,rent,moderate,little,1901,24,radio/TV,"The client is a male of 29 years old, highly skilled, with a moderate savings account, little checking account, renting his home, and asking for a loan of 1901 for a radio/TV, with a 24 months duration.",good risk
23,male,2,rent,rich,little,3368,15,car,"The client is a 23 years old man, he has a rich saving account, a little current account, a loan of 3368€ for a car with a duration of 15 months. He is a skilled worker who lives in a rented house.",good risk
50,male,2,own,little,little,1574,12,furniture/equipment,The 50 year old male with a skilled job is requesting a 1574 loan for furniture/equipment for 12 months with little savings and a little current account.,bad risk
49,male,1,own,little,rich,1445,18,radio/TV,A 49 year old male with a low savings account balance and a rich checking account has requested a loan for radio/TV in the amount of $1445 for 18 months.,good risk
63,male,2,own,little,little,1520,15,furniture/equipment,"A male, 63 years old, with a high level of skill and owns his home, requested a loan of 1520 euros to buy furniture/equipment for a period of 15 months. The loan has a low amount and the person has little savings.",good risk
37,male,2,own,moderate,moderate,3878,24,car,"The client is a 37 year old male with a moderate savings account, who works in a skilled job, and owns his own home. He is requesting a loan of 3878 for a car, with a duration of 24 months.",good risk
35,female,1,own,little,little,10722,47,car,"A woman, aged 35, with a low savings account, applied for a loan to buy a car. She lives in her own house and has a low current account. She has a skilled job and requested a loan of 10722 for 47 months.",good risk
26,male,2,own,little,little,4788,48,car,"A 26 year old man has requested a loan of 4788 to buy a car, he has little savings and is skilled.",good risk
31,male,3,free,moderate,moderate,7582,48,vacation/others,"A man, aged 31, with a high-skilled job, living in a free accommodation, with a moderate savings and current account, applied for a credit of 7582 for vacation/others, with a duration of 48 months.",good risk
49,female,2,own,little,moderate,1092,12,radio/TV,"The person is a female, 49 years old, with a high skilled job, living in her own house, has little savings, moderate checking account, wants to buy a radio/TV, with a 1092 credit and 12 months of duration.",good risk
48,male,2,own,little,little,1024,24,radio/TV,"A man of 48 years old, with a high skilled job, who owns his house, has a little savings and checking account, wants to buy a radio/TV and asks for a loan of 1024 with a duration of 24 months.",good risk
26,male,2,own,little,little,1076,12,business,"A 26 year old male with a high skill level, owns his home and has little in savings or checking is requesting a $1076 loan for 12 months for business purposes.",good risk
28,male,3,rent,little,moderate,9398,36,car,"A 28-year-old man with a high-skilled job who is renting a house and has a moderate current account with a little savings has requested a 9398 loan for a car, with a 36-month duration.",good risk
44,female,3,free,little,little,6419,24,car,"A 44 year old woman, who is highly skilled, wants to get a 6419€ loan for a car. She has little savings and the loan duration is 24 months.",good risk
56,male,2,free,little,rich,4796,42,car,"The male, 56 years old, has requested a 4796€ loan for a car with a 42 month duration. He has a rich checking account and a little savings account. His job is skilled and he has free accommodation.",good risk
46,male,3,own,little,little,7629,48,business,"A man of 46 years old, highly skilled, with own accommodation, little saving and current account, requested a business loan of 7629€ for 48 months.",good risk
26,female,2,own,little,moderate,9960,48,furniture/equipment,"A 26-year-old female skilled worker has a moderate current account and a small savings account, and is applying for a 9960€ loan for 48 months to buy furniture/equipment.",good risk
20,female,2,rent,little,little,4675,12,car,"A 20 year old woman has requested a loan for a car, has a low amount in savings and current accounts, and has a skilled job.",bad risk
45,male,1,own,little,little,1287,10,car,A man with an unskilled job and little savings who owns his own home has requested a car loan for 1287 euros for a period of 10 months.,bad risk
43,male,2,own,little,little,2515,18,furniture/equipment,"A male, 43 years old, with a skilled job, who owns his house, and has little in his savings and current accounts, requested a loan of 2515 euros for furniture/equipment, for 18 months.",good risk
32,male,2,own,rich,moderate,2745,21,furniture/equipment,"A 32 year old male with a high savings account, moderate current account, owns their house and is applying for a 2745 loan for 21 months for furniture/equipment.",good risk
54,female,0,own,little,little,672,6,car,"A 54 years old woman, unskilled and non-resident, with a low amount of savings and a little current account, requested a loan of 672€ for 6 months for buying a car.",bad risk
42,female,2,own,little,moderate,3804,36,radio/TV,"A woman of 42 years of age, with a moderate current account and a little savings account, who is skilled and owns her own home, is requesting a loan of 3804 for a radio/TV, for 36 months.",good risk
37,male,1,own,little,rich,1344,24,car,The male is a resident unskilled worker who owns his home and has a rich current account and a little savings account. He wants to buy a car and asked for a credit of 1344 for 24 months.,good risk
49,male,2,own,little,little,1038,10,car,"A male, 49 years old, with a skilled job, who owns his home, and has a small current and savings account, requested a loan of 1038 for a car, with a duration of 10 months.",good risk
44,male,2,free,quite rich,little,10127,48,car,A 44 year old male with a high savings account and little current account has requested a loan of 10127 for a car for a duration of 48 months with a skilled job and free housing.,good risk
33,male,2,own,rich,little,1543,6,furniture/equipment,"A male, 33 years old, skilled worker, with his own house and a rich savings account, requested a loan of 1543 for furniture/equipment, with a little checking account and a duration of 6 months.",good risk
24,female,1,rent,little,little,4811,30,car,"A 24 year old female who is unskilled and resident, rents, has little in savings and current accounts, wants a car for 4811 over 30 months.",bad risk
33,male,1,own,moderate,little,727,12,radio/TV,"A 33 year old man has requested a $727 loan to purchase a radio/TV. He has a moderate savings account, little checking account, is unskilled and a resident with his own house.",good risk
24,female,2,own,little,moderate,1237,8,furniture/equipment,"A 24-year-old female with a skilled job who owns her home is applying for a loan of 1237 for furniture/equipment. She has a moderate checking account and a little savings account, and the loan will last for 8 months.",good risk
22,male,1,rent,little,moderate,276,9,car,A young male with a low-paying job and little savings has requested a small loan for a car. The loan is for a short period. This is a low-risk loan.,good risk
40,male,0,free,little,moderate,5381,48,vacation/others,"A male aged 40 who is unskilled and non-resident has a low savings and moderate checking account, he requests a credit of $5381 for vacations/others with a term of 48 months.",bad risk
25,male,2,own,moderate,little,5511,24,furniture/equipment,"A male, 25 years old, with a moderate savings account, who owns his home and has a small checking account, requested a 5511€ loan for furniture/equipment, for 24 months.",good risk
26,female,2,own,little,rich,3749,24,furniture/equipment,"A female, skilled worker, who owns her home, with a low savings account, but a rich checking account, applied for a loan of 3749 for furniture/equipment, for a 24 month period.",good risk
25,male,1,own,little,moderate,685,12,car,"A male, 25 years old, resident, with a low savings account and a moderate current account, wants to buy a car for €685 with a 12 month term loan.",good risk
29,male,1,own,little,rich,1494,4,car,"A male, unskilled and resident with his own accommodation, with a rich current account and a little savings account, applied for a 1494 loan for a car, for a period of 4 months.",good risk
31,male,2,own,little,little,2746,36,furniture/equipment,The risk of default for a 31 year old male who is skilled and owns his home is low. He has a small current and savings account and wants a loan of 2746 for furniture/equipment for 36 months.,good risk
38,male,1,own,little,little,708,12,furniture/equipment,"A male, 38 years old, who is unskilled and resident, has his own accommodation and little savings. He requested a credit of 708 for furniture/equipment for 12 months.
.",good risk
48,female,1,own,little,moderate,4351,24,furniture/equipment,The person is a 48 year old woman who is unskilled and resident. She owns her home and has little savings but a moderate current account. She has applied for a loan of 4351 for furniture/equipment over 24 months.,good risk
32,male,2,own,little,little,701,12,education,A 32 year old male with a little savings account and a little checking account requested a 701 loan for 12 months to pay for his education.,bad risk
27,female,1,own,little,little,3643,15,furniture/equipment,"A 27-year-old woman, who is an unskilled resident, owns her own home. She has little in her savings and checking accounts. She wants to buy furniture/equipment and requests a credit of 3643 for 15 months.",bad risk
28,male,3,own,little,moderate,4249,30,car,"A man with a highly skilled job, who owns his home, has a moderate checking account and a small savings account, is applying for a 4249 loan for a car, for 30 months.",good risk
32,male,2,own,little,little,1938,24,radio/TV,"The person is a skilled male, 32 years old, who owns his home and has little savings. He is applying for a loan of 1938 for a radio/TV, with a 24-month term.",good risk
34,male,3,free,little,little,2910,24,car,"A male with a high level of skill, who lives in a free housing, with little savings and current accounts, requested a car loan for 2910 for 24 months.",good risk
28,male,2,own,rich,little,2659,18,furniture/equipment,"A 28 year old man who is skilled and owns his house has a rich savings account and a little current account, applied for a credit of 2659 for furniture/equipment for a duration of 18 months.",good risk
36,female,2,own,little,little,1028,18,car,"The female is 36 years old, has a low savings and checking account, a low credit amount, a short duration for a car.",bad risk
39,male,1,own,little,little,3398,8,car,"The person is a 39 year old male, with an unskilled job, who owns his home. He has little savings and little in his checking account. He is asking for a ${BANK_ACCOUNT_NUMBER} loan to buy a car, and wants to pay it back in 8 months.",bad risk
49,male,2,rent,little,little,5801,12,furniture/equipment,"A 49 year old male with a high skilled job, who rents his house, and has little savings, has asked for a 5801 euro loan for 12 months to buy furniture/equipment.",good risk
34,female,2,own,rich,little,1525,24,car,"The woman is 34 years old, skilled, has a lot of savings and a small current account. She requests a loan of 1525 euros for 24 months to buy a car.",good risk
31,male,2,own,little,rich,4473,36,radio/TV,"A male with an unskilled job, has a short-term loan for a radio/TV and has a rich current account.",good risk
28,male,2,own,little,moderate,1068,6,radio/TV,"The loan amount is 1068 and the loan duration is 6 months. The purpose of the loan is for radio/TV. The applicant is a male, 28 years old, with a skilled job, who owns his home and has a moderate checking account and a little savings account.",good risk
75,male,3,free,little,little,6615,24,car,"A 75 year old man who is highly skilled, with a small current and savings account, applied for a car loan of 6615 with a duration of 24 months.",bad risk
30,female,2,own,moderate,little,1864,18,education,"A 30 years old woman with a moderate savings account and a little current account, who owns her home, and is skilled worker, requested a loan of 1864€ for 18 months for education.",good risk
24,female,3,own,moderate,moderate,7408,60,car,"A woman of 24 years, highly skilled, owner of her home, with moderate savings and current accounts, requested a loan of 7408 dollars for 60 months to buy a car.",good risk
24,female,1,rent,moderate,little,11590,48,car,A 24 year old female resident with a moderate savings account and a little current account requests a car loan of 11590 for 48 months.,bad risk
23,male,2,rent,little,little,4110,24,furniture/equipment,"A young man with savings and a current account of little money, requests a loan for furniture/equipment for a rented house, with a high-skilled job.",good risk
44,male,3,rent,little,little,3384,6,furniture/equipment,"A 44 year old male, with high skills, renting a house, with little savings and checking accounts, requested a loan of $3384 for furniture/equipment for 6 months.",bad risk
23,female,1,own,little,moderate,2101,13,radio/TV,"A female who is 23 years old and an unskilled resident, owns her house, has little savings, has a moderate current account, has a credit of 2101 and a loan duration of 13 months for a radio/TV.",good risk
24,female,2,rent,little,little,1275,15,domestic appliances,"A woman with a skilled job, renting her home, has requested a 1275 loan for domestic appliances. She has little in her savings and current accounts and wants the loan for 15 months.",bad risk
28,male,2,own,little,little,4169,24,furniture/equipment,"A 28-year-old man with a high skill level, who owns his own home, has requested a loan of 4169 for furniture/equipment with a duration of 24 months and has a small savings account and a small checking account.",good risk
31,male,1,own,little,moderate,1521,10,furniture/equipment,A 31 year old male with a moderate checking account and little savings account requested a 1521 loan for furniture/equipment. The loan will last for 10 months.,good risk
24,female,2,free,little,moderate,5743,24,education,A 24-year-old woman seeks an education loan of 5743 euros with a 24-month duration. She has a moderate checking account and a small savings account. She has skilled employment and lives in free housing.,good risk
26,female,1,rent,little,little,3599,21,furniture/equipment,"A 26 year old woman who is unskilled and resident, has a low amount of savings and current account, requested a loan for furniture/equipment of $3599 for 21 months.",bad risk
25,male,2,rent,quite rich,moderate,3213,18,radio/TV,"A 25 year old male skilled worker, who lives in a rented house and has a moderate current account, is applying for a 3213 euro loan for radio/TV for 18 months. He has quite rich savings.",good risk
33,male,3,own,little,moderate,4439,18,business,"The person is a 33 year old man, highly skilled, with his own house, a small savings account and a moderate checking account. He wants to get a 4439€ loan for business purposes for a period of 18 months.",good risk
37,male,1,own,little,rich,3949,10,car,"A male with a rich current account, unskilled and resident, has requested a 3949 loan for 10 months to buy a car and owns his home with little savings.",good risk
43,female,1,own,little,little,1459,15,radio/TV,"The person is a 43 years old female, with an unskilled job and her own house. She wants to buy a radio/TV and asks for a 1459€ loan with a 15 months duration.",good risk
23,male,2,own,little,moderate,882,13,radio/TV,"The customer is a 23 year old male with a skilled job, who owns his own home. He has a moderate current account and little savings, and is applying for a loan of $882 to purchase a radio or TV. The loan term is 13 months.",good risk
23,female,0,rent,quite rich,moderate,3758,24,radio/TV,"A woman with an unskilled and non-resident job, living in a rented house, with a moderate current account and quite rich savings, asked for a 3758 credit for radio/TV, with a 24 months duration.",bad risk
34,male,1,own,moderate,little,1743,6,business,"A male, 34 years old, skilled and resident, with own housing, little current account and moderate savings account, requested a business loan of 1743 for 6 months.",good risk
32,male,2,free,rich,moderate,1136,9,education,A 32 years old man who is skilled is asking for a loan of 1136 for education purposes. He owns a free house and has rich and moderate bank accounts.,good risk
23,female,2,rent,little,little,1236,9,domestic appliances,A female with an average skill job has requested a loan of 1236 for domestic appliances. She has little in savings and rent for housing. The loan is for 9 months.,bad risk
29,female,2,own,little,moderate,959,9,furniture/equipment,The applicant is a 29-year-old woman who owns her home and has a moderate checking account balance. She is seeking a loan for furniture/equipment in the amount of 959 for a duration of 9 months.,good risk
38,male,3,own,little,little,3229,18,car,"The person has a high probability of default, due to his age, his profession and the amount of the loan.",bad risk
28,male,2,rent,little,little,6199,12,radio/TV,"A man of 28 years old with a skilled job is requesting a loan of 6199 euros for a TV/Radio, he has a low balance in his accounts and he is renting his home.",bad risk
46,male,2,free,quite rich,little,727,10,education,A 46 year old male with a high savings account and little checking account has applied for a $727 loan for education purposes. The loan has a 10 month duration. He is skilled.,good risk
23,male,1,own,little,moderate,1246,24,car,"A male with moderate current account, unskilled and resident, has requested a car loan for $1246 with a 24-month duration.",bad risk
49,male,2,own,little,little,2331,12,radio/TV,The person is a 49 year old male who has a skilled job. He owns his own home and has a small savings and current account. He is applying for a loan of 2331 over 12 months to buy a radio/TV.,good risk
26,male,3,own,little,little,4463,36,radio/TV,"A 26 year old male with a highly skilled job, who owns his own home and has little in savings has applied for a 4463 loan for a radio/TV with a 36 month duration.",good risk
28,male,2,own,little,little,776,12,radio/TV,The client is a 28 year old male with a skilled job who owns his home and is requesting a small loan for radio/TV.,good risk
23,female,2,rent,little,little,2406,30,furniture/equipment,A 23 year old woman with little savings and a little current account has requested a loan of 2406 for furniture/equipment for a period of 30 months. She is skilled.,good risk
61,male,2,free,little,moderate,1239,18,education,"A male, aged 61, skilled, with moderate current account, little savings, 1239 credit amount, 18 months duration for education purpose.",good risk
37,male,3,own,little,rich,3399,12,radio/TV,"A man of 37 years old, who owns his house, with a rich current account, wants to get a credit of 3399 for a radio/TV, with a duration of 12 months, he has a highly skilled job.",good risk
36,female,2,own,little,rich,2247,12,car,"A woman of 36 years, highly skilled, owner of her home, with little savings, rich checking account, requested a loan of 2247 for a car, for 12 months.",good risk
21,male,2,rent,little,little,1766,6,furniture/equipment,A young man with a low savings account balance and a short-term loan for furniture/equipment with a moderate level of skill and renting his home.,bad risk
25,male,0,own,little,little,2473,18,furniture/equipment,"A young, male, unskilled and non-resident person, who owns his own house, has little savings and current account, wants to borrow 2473 for furniture/equipment for 18 months.",bad risk
36,male,2,own,little,little,1542,12,business,"A man of 36 years old, skilled, who owns his house, asks for a credit of 1542 for business. He has little savings and little current account. The duration of the credit is 12 months.",good risk
27,male,2,own,little,little,3850,18,car,"A 27 years old man, skilled worker, who owns his house, asked for a 3850€ car loan, with a 18 months duration.",good risk
22,female,2,rent,little,little,3650,18,furniture/equipment,"A 22 year old woman who is skilled and rents her home, with a little savings and current account, requested a loan of $3650 for furniture/equipment for 18 months.",good risk
42,male,2,own,little,little,3446,36,furniture/equipment,A 42 year old male with a high skilled job has requested a 3446 loan for 36 months to purchase furniture/equipment. He owns his home and has little in savings and checking accounts.,good risk
40,female,2,rent,little,moderate,3001,18,furniture/equipment,"A woman, aged 40, who is skilled and renting, has a moderate current account and a little savings account, requested a loan of 3001 for furniture/equipment for 18 months.",good risk
36,male,2,own,little,little,3079,36,car,"A 36 year old male with a high skilled job, who owns his own home and has little in savings and current accounts, has requested a loan for a car of 3079 euros with a duration of 36 months.",good risk
33,male,2,own,little,little,6070,18,radio/TV,"The risk of not paying the credit is low, the person is male, skilled, has his own house, has little savings and current accounts, he requested a credit of 6070 for a TV or radio and the duration of the credit is 18 months.",good risk
23,female,2,rent,little,little,2146,10,furniture/equipment,"A 23 year old woman, highly skilled, who pays rent and has little savings, wants to buy furniture/equipment for 2146 over 10 months.",good risk
63,male,3,free,little,little,13756,60,car,"A 63 years old male with a highly skilled job has a little savings and current account, requested a credit of 13756 for a car and the duration is 60 months.",good risk
60,female,3,free,moderate,moderate,14782,60,vacation/others,"A person of 60 years old, female, highly skilled, with free housing, moderate savings and current accounts, requested a credit of 14782 for vacations and others with a duration of 60 months.",bad risk
37,female,2,rent,little,little,7685,48,business,"Female, 37 years old, skilled worker, who rents her house, with little savings and current account, applied for a 7685€ loan, for 48 months, for business.",bad risk
34,male,2,own,little,little,2320,18,radio/TV,A 34 years old man wants to get a 2320 loan for a radio/TV with a 18 months duration. He has a skilled job and owns his house but has little savings and current accounts.,good risk
36,male,2,free,little,little,846,7,radio/TV,"Male, 36 years old, skilled, lives in a free house, has little savings and current account, asks for 846 euros for radio/TV for 7 months.",good risk
57,male,3,free,little,moderate,14318,36,car,"A man of 57 years old, highly skilled, who lives in a free accommodation, with little savings and a moderate current account, asked for a car loan of 14318 for 36 months.",good risk
52,female,1,own,moderate,little,362,6,car,"A woman of 52 years old, who is unskilled and resident, with own housing, with a moderate saving account and a little checking account, asked for a loan of 362€ to buy a car for 6 months.",bad risk
39,male,2,own,little,little,2212,20,furniture/equipment,"The customer is a 39-year-old male with a medium-skilled job, living in his own home, with a small savings and checking account, asking for a $2212 loan for furniture/equipment for a 20-month term.",good risk
38,female,3,free,little,moderate,12976,18,car,"A female with a highly skilled job, who owns her home and has a moderate checking account, requested a 12976 loan for a car with a 18 months duration.",good risk
25,female,2,rent,little,little,1283,22,car,A 25-year-old woman with a high-skilled job who lives in a rented house has requested a loan of 1283 euros for 22 months to buy a car. She has little savings and a small current account.,good risk
26,male,2,own,little,rich,1330,12,car,"A 26 year old male who has a rich current account, is skilled, owns his own home, has a small savings account, has applied for a car loan of 1330 with a 12 month duration.",good risk
26,male,1,own,moderate,little,4272,30,business,"A 26-year-old male, who is an unskilled resident with his own home, a small current account and a moderate savings account, is requesting a 4272 loan for business purposes for 30 months.",good risk
25,female,2,own,little,little,2238,18,radio/TV,"A woman of 25 years old, with a skilled job and owns her home, requested a loan of 2238 for a TV or radio, with a duration of 18 months and with little savings.",good risk
21,female,2,rent,little,little,1126,18,radio/TV,"A 21-year-old female who is skilled and renting a house is applying for a loan of $1126 for a radio/TV, has little savings and a current account, and needs the loan for 18 months.",good risk
40,male,3,own,little,moderate,7374,18,furniture/equipment,"A male with a highly skilled job and his own home, with moderate current account and little savings, requested a 7374 credit to buy furniture/equipment for a period of 18 months.",good risk
27,male,2,own,quite rich,moderate,2326,15,business,"A man, 27 years old, skilled, with own house, with a rich savings account, with a moderate checking account, requested a loan of 2326 for business for a period of 15 months.",good risk
27,female,2,own,little,little,1449,9,business,"A woman, aged 27, who is highly skilled and owns her house, has requested a loan of 1449€ for business purposes. The loan duration is 9 months and she has a little savings and current account.",good risk
30,male,3,own,little,little,1820,18,car,"The credit risk is low for a 30 year old male with a high skilled job, who owns his own house, and has a low amount in both his savings and checking accounts. He is asking for a small amount of money to buy a car.",good risk
19,female,1,rent,rich,moderate,983,12,furniture/equipment,"The client is a young female with a moderate current account, rich savings, low loan amount, and short duration, the purpose is for furniture and equipment, with an unskilled and resident job and renting housing.",good risk
39,male,3,free,little,little,3249,36,car,"A 39 year old male, highly skilled, with little savings and current account, is requesting a car loan for 3249 euros with a duration of 36 months.",good risk
31,female,2,own,little,little,1957,6,radio/TV,The person is a 31 year old female with a low amount of savings and a little amount of current account. The person has a skilled job and owns their own home. The loan amount is 1957 with a duration of 6 months for a radio/TV.,good risk
31,male,3,own,little,little,2406,9,furniture/equipment,The client is a 31 year old male with a high skilled job who owns his own home. He has a small savings and checking account and wants to take out a $2406 loan for furniture/equipment for a 9 month period.,good risk
32,male,2,rent,moderate,moderate,11760,39,education,"A 32 years old male, with moderate savings and current accounts, requested a credit of 11760 for education purposes, for a duration of 39 months, and he has a skilled job and rents his accommodation.",good risk
55,female,3,free,little,little,2578,12,furniture/equipment,"A female, highly skilled, resident, with free housing, little savings and current accounts, is requesting a loan of 2578 euros for furniture/equipment, for a period of 12 months.",good risk
46,male,2,own,little,little,2348,36,furniture/equipment,"A male, 46 years old, skilled worker, owns his home, wants a loan of 2348 for furniture and equipment for a duration of 36 months. He has a small savings and checking account.",good risk
46,male,2,rent,little,moderate,1223,12,car,The risk of a 46 year old male with a moderate current account and a little savings account applying for a loan of 1223 for a car with a duration of 12 months is average.,good risk
43,female,1,own,rich,little,1516,24,radio/TV,"A woman, 43 years old, unskilled and resident, with her own home, rich savings account, little checking account, requested a loan of 1516 for radio/TV, for 24 months.",good risk
39,male,2,own,little,little,1473,18,radio/TV,"The applicant is a 39 year old male with a skilled job who owns his home. He has little in his savings and checking accounts, and wants to take out a loan for a radio/TV in the amount of $1473 for 18 months.",good risk
28,male,2,own,little,moderate,1887,18,business,"The person is a 28 year old male with a moderate current account, he is skilled and owns his own home. He is applying for a loan of 1887 to be paid back over 18 months for business purposes.",good risk
27,male,2,own,little,little,8648,24,business,"A male of 27 years old, skilled, with his own house, little savings and current accounts, requested a 8648 loan for business for 24 months.",good risk
27,male,1,own,little,little,802,14,car,"A male, 27 years old, with an unskilled job and his own house, requested a small credit to buy a car, with a short duration.",good risk
43,male,2,own,little,moderate,2899,18,car,"The person is a 43 year old male with a moderate checking account and little savings, who is applying for a 2899 loan for a car and owns their own home. They are skilled.",good risk
22,male,2,own,little,moderate,2039,24,radio/TV,A 22 year old male with a moderate current account and a little savings account has requested a loan of 2039 euros for a radio/TV for a duration of 24 months. He has a skilled job and owns his own house.,good risk
43,male,2,own,little,little,2197,24,car,A 43 year old male with a skilled job and his own home has a small savings and current account. He is requesting a car loan for 2197 over 24 months.,good risk
27,male,2,own,little,little,1053,15,radio/TV,"A male with a skilled job, who owns his house, has little savings and little current account, has requested a loan of 1053 euros for a period of 15 months to buy a radio/TV.",good risk
26,male,3,own,quite rich,little,3235,24,radio/TV,"A man of 26 years old with a high level of savings, wants to buy a TV, and asks for a loan of 3235 for a period of 24 months.",good risk
